"student",  "hw 1", "hw 2", "hw 3", "hw 4", "exam"
"A",  10  , 9   , 10  , 7   , 97
"B",  8   , 7   , 9   , 9   , 82
"C",      , 9   , 6   , 5   , 75
"D",  8   , 9   , 9   , 9   , 90
"E",      , 10  , 10  , 10  , 95
"F",  8   , 2   , 6   , 7   , 66
"G",  6   ,     , 4   , 5   , 60
"H",  8   , 8   , 9   , 8   , 84
"I",  10  , 7   , 10  , 10  , 92
"J",  10  , 6   , 9   , 9   , 91
"K",  8   , 7   , 6   , 8   , 87
"L",  3   , 8   , 5   , 7   , 71
"M",  9   , 9   , 8   , 9   , 94
"N",  8   , 10  , 9   , 9   , 90
"O",  10  , 10  , 10  , 9   , 99
"P",  8   , 9   , 8   , 10  , 94
"Q",  5   , 7   , 6   , 5   , 78


